Caterpillar ID,Leaf ID,Caterpillar Instar,Caterpillar Alive,Date,Time,Leaf Area,Notes,Image,Image Calibrated,Old Leaf Area
1,1001,3,Yes,7/18/2020,8.883,306.5273559,,MsCcHSFeed\07-18-2020.8.883CatID001LeafID1001.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,297.9402101
2,1002,3,Yes,7/18/2020,8.95,337.2103114,,MsCcHSFeed\07-18-2020.8.95CatID002LeafID1002.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,323.7369696
3,1003,3,Yes,7/20/2020,16.183,189.4274146,,MsCcHSFeed\07-20-2020.16.183CatID003LeafID1003.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,189.046723
4,1004,3,Yes,7/20/2020,16.25,236.5860731,,MsCcHSFeed\07-20-2020.16.25CatID004LeafID1004.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,234.8631494
5,1005,3,Yes,7/20/2020,16.283,296.3428753,,MsCcHSFeed\07-20-2020.16.283CatID005LeafID1005.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,265.966043
6,1006,3,Yes,7/20/2020,16.333,327.1435704,,MsCcHSFeed\07-20-2020.16.333CatID006LeafID1006.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,319.325657
7,1007,3,Yes,7/20/2020,16.367,271.7313617,,MsCcHSFeed\07-20-2020.16.367CatID007LeafID1007.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,256.0994595
8,1008,3,Yes,7/20/2020,16.417,268.3954047,,MsCcHSFeed\07-20-2020.16.417CatID008LeafID1008.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,260.8365185
9,1009,3,Yes,7/20/2020,16.45,379.3179385,,MsCcHSFeed\07-20-2020.16.45CatID009LeafID1009.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,318.5564246
10,1010,3,Yes,7/20/2020,16.5,438.5684602,,MsCcHSFeed\07-20-2020.16.5CatID010LeafID1010.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,427.6853909
11,1011,3,Yes,7/20/2020,16.55,368.3210542,,MsCcHSFeed\07-20-2020.16.55CatID011LeafID1011.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,359.6711139
13,1012,3,Yes,7/21/2020,14.367,140.5890036,,MsCcHSFeed\07-21-2020.14.367CatID013LeafID1012.png,MsCcHSFeed\08-03-2020.15.783CatID019LeafID1172Original.png,141.0952841
