Column,Explanation,Format,Units,,,,
ID,Unique ID for each caterpillar,###,N/A,,,,
food,Identifier for the type of food consumed by the caterpillar,Factor,"TB, DC",,,,
fate,Ending developmental outcome of the individual,Character,"dead, em, wander, wowe, wowe mongo, quink",,,,
date.max,Date at the maximum mass measurement taken of the caterpillar,MM/DD/YYYY,N/A,,,,
mass.max,Maximum mass measurement taken of the caterpillar,Numeric,mg,,,,
pop,Population where the individual was collected,Character,"Clayton, RM",,,,
para,parasitization status,Factor,yes/no,,,,
HS,heat shock status,Factor,yes/no,,,,
treatment,Combination of pararsitization and heat shock status,Character,NP/P  NHS/HS,,,,
bin,Identifier of the bin in which the caterpillar was housed ,Character,A-Z,,,,
bin.type,Whether the bin housed one individual or 4 in dividers,Factor,group or ind,,,,
date.death,Date the caterpillar died,MM/DD/YYYY,N/A,,,,
survived,binary of whether the caterpillar survived the experiment or not,Factor,yes/no,,,,
date.hatch,Date the caterpillar hatched ,MM/DD/YYYY,N/A,,,,
mass.hatch,Mass at hatching (for future analyses - set to 1 mg),Numeric,mg,,,,
date.3rd,Date the caterpillar molted to 3rd instar*,MM/DD/YYYY,N/A,,,,
mass.3rd,Mass at 3rd instar,Numeric,mg,,,,
date.para,Date the caterpillar was parasitized (if applicable),MM/DD/YYYY,N/A,,,,
num.para,Number of times the caterpillar was parasitized,Numeric,N/A,,,,
date.hs,Date the caterpillar was heat shocked (if applicable),MM/DD/YYYY,N/A,,,,
,THEN FOLLOW A LONG SERIES OF CONGRUENT COLUMNS:,,,,,,
date.XXX,"Date at particular development stage (instar, wandering, pupation, eclosion, wasp emergence, etc)",MM/DD/YYYY,N/A,,,,
mass.XXX,"Mass at that particular development stage (instar, wandering, pupation, eclosion, wasp emergence, etc)",Numeric,mg,,,,
,IMPORTANT ONES TO HIGHLIGHT:,,,,,,
sex,Sex of the adult moth,Factor,M/F,,,,
deformed,Whether the moth had deformed wings or not,Factor,yes/no,,,,
date.coc,Date of wasp cocoon appearance,MM/DD/YYYY,N/A,,,,
date.remove,Date of wasp cocoon removal,MM/DD/YYYY,N/A,,,,
num.w.larvae,Number of wasp larvae outside of the caterpillar but not within a cocoon,Numeric,N/A,,,,
num.w.coc,Number of wasp cocoons,Numeric,N/A,,,,
wet,Whether the cup was wet with hemolymph or not,Factor,yes/no,,,,
date.w.eclos,Date of wasp eclosion,MM/DD/YYYY,N/A,,,,
num.w.eclos,Number of wasps that successfully eclosed,Numeric,N/A,,,,
date.out,Date the caterpillar exited the experiment,MM/DD/YYYY,N/A,,,,
mass.out,Mass of caterpillar at exit,Numeric,mg,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,y,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,r !:,
,,,,,,:,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
